"","HZ","low_bin","high_bin","date","chips","expert","institution","last.in.field","experience.ide","p","chips.all.experts","p.all.experts","expert.date"
"70","BENI",6,8,"25-10-2019",2,"7","LSHTM","<2 weeks ago","<5 years",0.1,9,0.15,"expert 7 25-10-2019"
"71","BENI",6,8,"25-10-2019",2,"15","LSHTM","<2 weeks ago","<5 years",0.1,9,0.15,"expert 15 25-10-2019"
"72","BENI",6,8,"25-10-2019",5,"12","LSHTM","<2 weeks ago",">5 years",0.25,9,0.15,"expert 12 25-10-2019"
"73","BENI",8,10,"25-10-2019",4,"12","LSHTM","<2 weeks ago",">5 years",0.2,6,0.1,"expert 12 25-10-2019"
"74","BENI",8,10,"25-10-2019",1,"7","LSHTM","<2 weeks ago","<5 years",0.05,6,0.1,"expert 7 25-10-2019"
"75","BENI",8,10,"25-10-2019",1,"15","LSHTM","<2 weeks ago","<5 years",0.05,6,0.1,"expert 15 25-10-2019"
"76","GOMA",0,2,"25-10-2019",10,"15","LSHTM","<2 weeks ago","<5 years",0.5,47,0.783333333333333,"expert 15 25-10-2019"
"77","GOMA",0,2,"25-10-2019",19,"7","LSHTM","<2 weeks ago","<5 years",0.95,47,0.783333333333333,"expert 7 25-10-2019"
"78","GOMA",0,2,"25-10-2019",18,"12","LSHTM","<2 weeks ago",">5 years",0.9,47,0.783333333333333,"expert 12 25-10-2019"
"79","GOMA",10,12,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,1,0.0166666666666667,"expert 7 25-10-2019"
"80","GOMA",10,12,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,1,0.0166666666666667,"expert 12 25-10-2019"
"81","GOMA",10,12,"25-10-2019",1,"15","LSHTM","<2 weeks ago","<5 years",0.05,1,0.0166666666666667,"expert 15 25-10-2019"
"82","GOMA",12,14,"25-10-2019",1,"15","LSHTM","<2 weeks ago","<5 years",0.05,1,0.0166666666666667,"expert 15 25-10-2019"
"83","GOMA",12,14,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,1,0.0166666666666667,"expert 7 25-10-2019"
"84","GOMA",12,14,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,1,0.0166666666666667,"expert 12 25-10-2019"
"85","GOMA",14,16,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"86","GOMA",14,16,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"87","GOMA",14,16,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
